,sentences
34373,maybe come rescue
34374,busy try side split happen monty monkey well
34375,treat little respect
34376,oh shut tub gut
34377,little mi smooth
34378,want dirty money
34379,oh come price
34380,shh shh grownup talk honey
34381,dad price dignity
34382,right yes naked reeking panda love get stop go far
34383,look like monkey evolve man
34384,huh oh extra thing
34385,forget dad proud
34386,aw thank sweetheart dirty ill get money better throw garbage
34387,lot needy kid
34388,say need buy gun
34389,dad brighten holiday fortunate
34390,right time rebuild self esteem
34391,oh good lord week
34392,like buy toy needy child dirty dirty money
34393,certainly uh mr costington wonderful happen nooo nooo yessss
34394,think see generosity modern day kris kringle sir
34395,tryin ' dig pit shame
34396,bit shoe sniff problem allow floor
34397,mr simpson crazy thought little thanksgiving day parade right build little fella kris kringle
34398,proud dad grand finale thanksgiving day parade
34399,wanna rehearse dad
34400,need rehearse ho ho ho merry line
34401,look like beautiful eighty degree thanksgive day thank global warming right leeza gibbon
34402,right kent brockman broadcast bring costington department store thing downtown open right man shelter
34403,rusty clown springfield get lame balloon
34404,kid funky winkerbean funky look noid avoid noid ruin pizza
34405,hey lady santa claus go to right
34406,touch give right
34407,leeza like gingerbread
34408,love float gingerbread desk set
34409,ho ho ho merry
34410,ahoy hoy st nick
34411,pranksgive uh oh
34412,tell monkey anymore
34413,silence monkey father christmas opportunity bend town knee pranking forget
34414,float salute native americans teach celebrate thanksgiving
34415,interesting note float papi m ch compose entirely broken treaty
34416,answer mr burn money
34417,yes christian non jewish everybody love santa claus
34418,oh suppose throw toy hurl sort candy treat
34419,wait minute kent candy fish gut
34420,doctor say patch minute day
34421,hey time santy claus
34422,oh come gull
34423,oh nice birdie nice birdie oh nice
34424,oh dad sell soul
34425,ho ho ho merry fish mas
34426,let lisa give early christmas present gift dignity
34427,hey open stand morning
34428,hey homer work plant close fumigation
34429,tell plant closed
34430,computer thing like electric letter
34431,bad work live day hey carl turn car radio
34432,get computer soon somebody let outta
34433,hmmm need paperweight buy machine go to expensive paperweight
34434,paperweight nice need computer
34435,mm hm technology month old sucker buy date machine sucker sir
34436,oh good ask leave store
34437,need receive e mail
34438,need line machine
34439,computer astronaut use taxis
34440,second decide sir
34441,good computer world right
34442,absolutely run deed house
34443,hey lisa check new computer
34444,stupid pothole worry head computer thinking
34445,oh yeah perfect
34446,computer kill flander
34447,hear ear burnin '
34448,good start finish job
34449,ah busy catch later compu tater
34450,  computer handle simple assignment
34451,dad set computer bart play yard
34452,okay ready write basic command understand
34453,homer bring house
34454,ooh dance jesus de de de de de de de de well use internet find
34455,commit crime want confess click yes click
34456,right tell secret bagel week old donut
34457,choose meaning commit crime want confess paddy wagon speed home
34458,wait buy police cap t shirt
34459,right remain fabulous
34460,everybody world great website
34461,think noise annoying
34462,get suspend school today
34463,kiddin ' think page lisa honest great ahead great want
34464,find switchblade locker
34465,web page suppose personal thing steal copyright material sue
34466,take swing cop
34467,sue know mr x
34468,yep wrong mr x
34469,mom want come bed
34470,web page get single hit
34471,offer people joke opinion idea
34472,lousy pothole fix
34473,hear mayor quimby spend street repair fund secret swimming pool
34474,hmm kind dirt belong web page
34475,post internet know true
34476,nelson steer wrong honey nelson gold
34477,ready secret meeting smither
34478,hmm let x rate girl bookmarke dial x sex mr x shall cross final frontier
34479,steal fund pothole money swimming pool emoticon feel
34480,mayor corrupt oh mr x town great service despite poor grammar spelling
34481,seymour look naked lady
34482,secret swimming pool
34483,uh wha secret swimming pool
34484,hey let look door
34485,good lord discover ruin ancient city okay well
34486,change world know exactly god feel
34487,want turkey sausage ham
34488,new internet watchdog create stir springfield mr x real come sensational scoop
34489,darn tootin '
34490,forget real news local tv deliver real officially license newsman like kent brockman come dog talk beer commercial cowboy steve tell
34491,happy get pothole fill irresponsible present rumor fact maybe quit ahead
34492,way mr x go to dig probe person town jail
34493,coconut bagel like poison taste
34494,eh point finger run guy parking lot dump body golf course
34495,interest public safety confiscate donut bagel cruller bear claw city coffee
34496,morning mr x report department
34497,know know assure police prisoner cell race
34498,electric chair cook chicken
34499,uh yeah right press conference
34500,police chief wig
34501,miss springfield beautiful word use appearance alter cosmetic
34502,public warn wish mr x
34503,oh know carl close think
34504,uh talk real sly voice hey hey everybody homer mr x
34505,mr x right buy tall frosty
34506,hey moe secret
34507,sittin ' toilet live long day
34508,hope find pure journalistic dynamite
34509,uh sir place bug
34510,agree supply terrorist deadly uranium
34511,credit great satan
34512,ohh worry fume suck air vent
34513,place fall apart
34514,sell uranium terrorist montgomery burn wait
34515,like award year pulitzer prize mr x
34516,unfortunately know cash award feed starve child
34517,mr x gimme gimme
34518,mr x hah
34519,thank folk expose secret conspiracy
34520,proud win pulitzer
34521,feel bad starve child
34522,oh good oh
34523,hey guy go
34524,oh worry mr x thing beer
34525,dunno want homer uh get lotta secret prefer clandestine terrible disturbing secret
34526,helen say bible
34527,visit web page anymore counter actually go
34528,great idea news
34529,let bulletin new race discover live inch denver
34530,name ' morton ' ' mortonson '
34531,mr x say spanish italian language surprising
34532,  control mind flu shot know kid glad believe inoculation
34533,hey mr x get tip ya science class dissect frozen hobo bindle prove
34534,real news great son gettin ' thousand hit hour grade bull plop
34535,gimme lotto ticket apu mr x roll
34536,stop apu scare
34537,save mr x wait mr x
34538,oh leave island
34539,hello operator like report weird island send lot rescue copter
34540,welcome friend number
34541,number man oh wait number ha ha face number
34542,know number know turn water gasoline number know deadly secret tic tacs invent bottomless peanut bag
34543,worry half husband officer scraps'll find
34544,oh darling dog
34545,yep trail right uh oh
34546,well fish ' be lou
34547,uh shoe uniform
34548,oh drug tea know weakness
34549,hello number little thing
34550,hold want answer want eventually
34551,blunt web page stumble secret plan
34552,impossible story bull plop bull plop
34553,oh cute refer flu shoot expos one load mind control additive
34554,drive people frenzy shopping flu shot give christmas
34555,course simple wait needlessly complicated
34556,good boy let ice cream
34557,look drug want family will rest till find drug bloated corpse
34558,count number far family know homer simpson walk door right
34559,marge honey fraulein home
34560,ya forgive unexplained week absence dinner sensibly price restaurant night efficient german sex
34561,sure feel like cook
34562,evil movie maybe evil island
34563,new tie wear
34564,tired drug gag get to way escape
34565,work thirty year toilet paper roll toothpick plastic fork sail scab dynamite small smelly carry
34566,oh anti escape orb
34567,think big balloon stop people
34568,horrible month warn everybody
34569,attention crazy creep island secretly run world
34570,sorry old chap prove caterpillar buttermilk
34571,yes fight struggle
34572,know will like kick crotch
34573,oh marge real homer
34574,bravo number know happen bad little fishie wriggle net
34575,drugging bad place
34576,truly god country
34577,welcome magic palace
34578,okay park car joyriding
34579,hello questo waiter mentalist evening
34580,receive drink order foamy beeee
34581,beer yes know
34582,lady long island ice tea
34583,oh ought large island ice tea long well
34584,go to drink
34585,maybe sip want offend mentalist
34586,mom miss great
34587,mmm like visit long island place real
34588,illusion need volunteer
34589,okay marge gentleman
34590,wow mom get laugh
34591,wish drink day
34592,emperor china comin ' colorful silk
34593,talk abra blab ra right
34594,lady know talkin '
34595,tell let ball gag ya
34596,skip right ahead kill o tine
34597,worry marge will feel thing feel thing
34598,folk act help
34599,cool gift shop
34600,  age hmm dad magic kit
34601,gee wish son leave gift shop
34602,wow approve royal magic college hyderabad
34603,party magic college
34604,cut mommy need quiet right
34605,look like sturgeon
34606,ooh ah foreign fish lookin ' uh plus
34607,maybe money dad magic act come
34608,step right magic boy witness mystify feat leave scratch head raw bloody
